game_name,critic_score,user_score,publisher,release_date,num_of_critics,num_of_users,origin,platform,AAA
A Game of Dwarves,60.0,66.0,Paradox Interactive,2012,11.0,62.0,MetaCritic,PC,0
A Game of Thrones: Genesis,53.0,41.0,Focus Home Interactive,2011,40.0,111.0,MetaCritic,PC,0
A Game of Thrones: Genesis,52.94,,Focus Home Interactive,2011,25.0,,GameRankings,PC,0
A Golden Wake,68.0,60.0,Wadjet Eye Games,2014,17.0,20.0,MetaCritic,PC,0
A Hat in Time,79.0,74.0,Gears for Breakfast,2017,17.0,38.0,MetaCritic,PS4,0
A Hat in Time,78.24,,Gears for Breakfast,2017,25.0,,GameRankings,PC,0
A Hat in Time,74.0,78.0,Gears for Breakfast,2017,17.0,25.0,MetaCritic,X1,0
A Hat in Time,79.0,84.0,Gears for Breakfast,2017,39.0,250.0,MetaCritic,PC,0
A King's Tale: Final Fantasy XV,65.0,65.0,Square Enix,2016,5.0,40.0,MetaCritic,PS4,1
A Kingdom for Keflings,78.0,70.0,NinjaBee,2008,26.0,43.0,MetaCritic,X360,0
A Kingdom for Keflings,78.64,,NinjaBee,2008,28.0,,GameRankings,X360,0
A New Beginning: Final Cut,72.0,68.0,Lace Mamba Global,2012,20.0,71.0,MetaCritic,PC,0
A Normal Lost Phone,71.0,77.0,Plug In Digital Label,2017,8.0,6.0,MetaCritic,PC,0
A Pixel Story,74.0,58.0,Channel 4,2015,14.0,5.0,MetaCritic,PC,0
A Quiet Weekend in Capri,63.0,75.0,Got Game Entertainment,2004,11.0,6.0,MetaCritic,PC,0
A Story About My Uncle,73.0,72.0,Gone North Games,2014,24.0,92.0,MetaCritic,PC,0
A Stroke of Fate: Operation Valkyrie,58.0,52.0,Akella,2011,4.0,5.0,MetaCritic,PC,0
A Tale in the Desert,79.0,83.0,eGenesis,2003,6.0,8.0,MetaCritic,PC,0
A Valley Without Wind,54.0,68.0,"Arcen Games, LLC",2012,12.0,60.0,MetaCritic,PC,0
A Valley Without Wind 2,68.0,72.0,"Arcen Games, LLC",2013,6.0,31.0,MetaCritic,PC,0
A Vampyre Story,74.96,,Crimson Cow,2008,25.0,,GameRankings,PC,0
A Virus Named TOM,65.0,63.0,Misfits Attic,2012,9.0,59.0,MetaCritic,PC,0
A Walk in the Dark,67.0,57.0,Flying Turtle Software,2012,4.0,16.0,MetaCritic,PC,0
A Way Out,79.42,,Electronic Arts,2018,24.0,,GameRankings,PS4,1
A Way Out,81.0,66.0,Electronic Arts,2018,8.0,96.0,MetaCritic,PC,1
A Way Out,80.0,83.0,Electronic Arts,2018,51.0,255.0,MetaCritic,PS4,1
A Way Out,80.0,76.0,Electronic Arts,2018,14.0,67.0,MetaCritic,X1,1
A World of Keflings,78.07,,NinjaBee,2010,23.0,,GameRankings,X360,0
A World of Keflings,77.0,65.0,NinjaBee,2010,23.0,37.0,MetaCritic,X360,0
