game,AAA,critics,user,year
Animal Crossing: Happy Home Designer,1,66.15,0.0,2015
Animal Crossing: New Leaf,1,86.93,0.0,2013
Animal Crossing: Wild World,1,86.27,0.0,2005
Anito: Defend a Land Enraged,0,63.0,75.0,2003
Ankh,0,76.03,77.0,2006
Anna,0,55.0,51.0,2012
Anna's Quest,0,74.0,69.0,2015
Anna: Extended Edition,0,75.0,59.0,2013
Anno 2070,1,83.0,71.0,2011
Anno 2205,1,72.0,60.0,2015
Anodyne,0,75.0,66.0,2013
Anomaly 1729,0,49.0,73.0,2015
Anomaly 2,0,77.0,78.0,2013
Anomaly Defenders,0,70.0,57.0,2014
Anomaly: Warzone Earth,0,80.0,73.0,2011
Another World: 20th Anniversary Edition,0,65.0,59.0,2014
Anoxemia,0,60.0,38.0,2017
Antichamber,0,82.0,82.0,2013
Antihero,0,81.0,72.0,2017
Apache Longbow Assault,1,73.0,70.0,2004
Apache: Air Assault,1,70.0,64.0,2010
Ape Escape,0,90.44,0.0,1999
Ape Escape 2,0,81.16,0.0,2003
Ape Escape 3,0,78.88,0.0,2006
Ape Escape Academy,0,55.55,0.0,2006
Ape Escape: On the Loose,0,66.52,0.0,2005
Apex,0,75.91,0.0,2003
Apex Construct,0,76.0,68.0,2018
Apocalypse,1,71.3,0.0,1998
Apocalyptica,1,34.0,39.0,2004
Apollo Justice: Ace Attorney,0,78.39,0.0,2008
Aporia: Beyond The Valley,0,71.0,66.0,2017
Apotheon,0,78.0,73.0,2015
Aqua,1,61.0,82.0,2010
Aqua Aqua,0,71.83,0.0,2001
Aqua Kitty: Milk Mine Defender DX,0,74.0,64.0,2014
Aqua Moto Racing Utopia,0,64.0,76.0,2016
AquaNox,0,67.0,77.0,2001
AquaNox 2: Revelation,0,65.19,78.0,2003
AquaPazza: AquaPlus Dream Match,0,75.0,78.0,2013
Aquaria,0,82.0,82.0,2007
Ar nosurge: Ode to an Unborn Star,0,67.0,78.0,2014
Ar tonelico Qoga: Knell of Ar Ciel,0,66.0,55.0,2011
Ar tonelico: Melody of Elemia,0,71.93,0.0,2007
Aragami,0,71.0,70.0,2016
Arc Rise Fantasia,0,68.31,0.0,2010
Arc the Lad Collection,0,80.77,0.0,2002
Arc the Lad: End of Darkness,1,57.68,0.0,2005
Arc the Lad: Twilight of the Spirits,0,74.7,0.0,2003
